ID,Age,Gender,Skin_Type,Skin_Concerns,Products_Used,Usage_Frequency,Brand_Preference,Derm_Recommendation,Location
108,28,Male,Combination,"['Pigmentation', 'Dark spots', 'Blackheads']","['Moisturizer', 'Exfoliator', 'Niacinamide']",Daily,"['Nivea', 'Minimalist', 'Biotique']",Balance T-zone with lightweight products. Use vitamin C serum daily. Niacinamide and sunscreen are key. Use BHA exfoliant twice weekly.,Rural
109,46,Female,Combination,"['Dryness', 'Blackheads', 'Pigmentation']","['Sunscreen', 'Retinol', 'Moisturizer']",Alternate Days,"['Cetaphil', 'Nivea', 'Himalaya']",Balance T-zone with lightweight products. Layer with hyaluronic acid serum. Use BHA exfoliant twice weekly. Use vitamin C serum daily.,Rural
110,29,Female,Dry,['Dryness'],"['Exfoliator', 'Sunscreen', 'Cleanser']",Weekly,"['Cetaphil', 'Minimalist']",Use hydrating cleanser and thick moisturizer. Layer with hyaluronic acid serum.,Urban
111,17,Male,Dry,"['Blackheads', 'Dark spots']","['Exfoliator', 'Retinol', 'Cleanser']",Daily,"['Plum', 'Minimalist']",Use hydrating cleanser and thick moisturizer. Use BHA exfoliant twice weekly. Niacinamide and sunscreen are key.,Rural
112,22,Female,Combination,['Blackheads'],"['Sunscreen', 'Moisturizer']",Daily,"['Minimalist', 'Himalaya']",Balance T-zone with lightweight products. Use BHA exfoliant twice weekly.,Rural
113,34,Male,Oily,"['Dryness', 'Blackheads']","['Exfoliator', 'Vitamin C', 'Retinol']",Weekly,"['Minimalist', 'Biotique', 'Himalaya']",Use salicylic acid cleanser and oil-free moisturizer. Layer with hyaluronic acid serum. Use BHA exfoliant twice weekly.,Rural
114,43,Male,Sensitive,['Dryness'],"['Moisturizer', 'Sunscreen', 'Cleanser', 'Niacinamide']",Daily,"['Himalaya', 'Cetaphil']","Use fragrance-free, gentle products only. Layer with hyaluronic acid serum.",Rural
115,24,Male,Sensitive,"['Dark spots', 'Acne', 'Dryness']","['Vitamin C', 'Moisturizer', 'Sunscreen']",Weekly,['Cetaphil'],"Use fragrance-free, gentle products only. Niacinamide and sunscreen are key. Add niacinamide or benzoyl peroxide. Layer with hyaluronic acid serum.",Rural
116,46,Female,Dry,"['Uneven tone', 'Acne', 'Dark spots']","['Cleanser', 'Niacinamide', 'Vitamin C', 'Exfoliator']",Weekly,"['Minimalist', 'Himalaya']",Use hydrating cleanser and thick moisturizer. Try AHAs and vitamin C. Add niacinamide or benzoyl peroxide. Niacinamide and sunscreen are key.,Rural
117,28,Female,Oily,"['Dryness', 'Acne']","['Moisturizer', 'Vitamin C', 'Cleanser', 'Sunscreen']",Daily,['Plum'],Use salicylic acid cleanser and oil-free moisturizer. Layer with hyaluronic acid serum. Add niacinamide or benzoyl peroxide.,Rural
118,38,Female,Sensitive,"['Pigmentation', 'Dryness', 'Acne']","['Cleanser', 'Sunscreen', 'Moisturizer', 'Exfoliator', 'Retinol']",Daily,"['Plum', 'Cetaphil']","Use fragrance-free, gentle products only. Use vitamin C serum daily. Layer with hyaluronic acid serum. Add niacinamide or benzoyl peroxide.",Rural
119,30,Female,Combination,['Dryness'],"['Sunscreen', 'Exfoliator', 'Cleanser']",Alternate Days,"['Minimalist', 'Plum']",Balance T-zone with lightweight products. Layer with hyaluronic acid serum.,Rural
120,32,Female,Sensitive,"['Pigmentation', 'Blackheads']","['Sunscreen', 'Niacinamide', 'Exfoliator', 'Cleanser', 'Vitamin C']",Weekly,['Nivea'],"Use fragrance-free, gentle products only. Use vitamin C serum daily. Use BHA exfoliant twice weekly.",Urban
121,30,Female,Combination,['Acne'],"['Vitamin C', 'Sunscreen', 'Exfoliator', 'Retinol']",Weekly,['Himalaya'],Balance T-zone with lightweight products. Add niacinamide or benzoyl peroxide.,Rural
122,25,Female,Oily,"['Dryness', 'Wrinkles', 'Dark spots']","['Sunscreen', 'Vitamin C', 'Cleanser', 'Niacinamide', 'Exfoliator']",Weekly,"['Cetaphil', 'Himalaya']",Use salicylic acid cleanser and oil-free moisturizer. Layer with hyaluronic acid serum. Include retinol at night. Niacinamide and sunscreen are key.,Urban
123,19,Male,Sensitive,['Pigmentation'],"['Moisturizer', 'Vitamin C']",Alternate Days,"['Nivea', 'Cetaphil']","Use fragrance-free, gentle products only. Use vitamin C serum daily.",Urban
124,35,Female,Combination,"['Blackheads', 'Acne']","['Niacinamide', 'Sunscreen', 'Retinol']",Alternate Days,"['Plum', 'Mamaearth', 'Minimalist']",Balance T-zone with lightweight products. Use BHA exfoliant twice weekly. Add niacinamide or benzoyl peroxide.,Urban
125,39,Female,Sensitive,"['Acne', 'Wrinkles', 'Uneven tone']","['Moisturizer', 'Niacinamide', 'Sunscreen', 'Retinol', 'Cleanser']",Daily,['Biotique'],"Use fragrance-free, gentle products only. Add niacinamide or benzoyl peroxide. Include retinol at night. Try AHAs and vitamin C.",Urban
126,38,Male,Sensitive,['Dryness'],"['Vitamin C', 'Sunscreen', 'Cleanser', 'Exfoliator']",Alternate Days,['Himalaya'],"Use fragrance-free, gentle products only. Layer with hyaluronic acid serum.",Urban
127,27,Male,Oily,['Dryness'],"['Moisturizer', 'Retinol', 'Cleanser']",Alternate Days,"['Cetaphil', 'Plum', 'Nivea']",Use salicylic acid cleanser and oil-free moisturizer. Layer with hyaluronic acid serum.,Urban
128,27,Male,Combination,"['Uneven tone', 'Dryness']","['Niacinamide', 'Retinol', 'Vitamin C', 'Cleanser', 'Exfoliator']",Alternate Days,"['Minimalist', 'Nivea', 'Himalaya']",Balance T-zone with lightweight products. Try AHAs and vitamin C. Layer with hyaluronic acid serum.,Rural
129,32,Male,Dry,"['Dark spots', 'Acne']","['Niacinamide', 'Moisturizer']",Alternate Days,['Mamaearth'],Use hydrating cleanser and thick moisturizer. Niacinamide and sunscreen are key. Add niacinamide or benzoyl peroxide.,Rural
130,44,Female,Combination,['Wrinkles'],"['Vitamin C', 'Niacinamide', 'Sunscreen']",Daily,"['Plum', 'Cetaphil', 'Himalaya']",Balance T-zone with lightweight products. Include retinol at night.,Urban
131,35,Male,Dry,['Uneven tone'],"['Exfoliator', 'Niacinamide', 'Cleanser', 'Vitamin C']",Daily,['Himalaya'],Use hydrating cleanser and thick moisturizer. Try AHAs and vitamin C.,Rural
132,42,Female,Oily,"['Uneven tone', 'Dark spots']","['Vitamin C', 'Sunscreen', 'Retinol', 'Moisturizer']",Weekly,"['Nivea', 'Minimalist']",Use salicylic acid cleanser and oil-free moisturizer. Try AHAs and vitamin C. Niacinamide and sunscreen are key.,Urban
133,36,Female,Sensitive,"['Blackheads', 'Pigmentation']","['Niacinamide', 'Moisturizer', 'Sunscreen', 'Exfoliator']",Alternate Days,"['Mamaearth', 'Plum']","Use fragrance-free, gentle products only. Use BHA exfoliant twice weekly. Use vitamin C serum daily.",Urban
134,21,Male,Sensitive,['Wrinkles'],"['Moisturizer', 'Exfoliator', 'Cleanser', 'Niacinamide', 'Vitamin C']",Weekly,"['Nivea', 'Mamaearth', 'Himalaya']","Use fragrance-free, gentle products only. Include retinol at night.",Rural
135,63,Female,Dry,['Blackheads'],"['Retinol', 'Sunscreen', 'Exfoliator', 'Cleanser', 'Niacinamide']",Weekly,"['Nivea', 'Mamaearth', 'Himalaya']",Use hydrating cleanser and thick moisturizer. Use BHA exfoliant twice weekly.,Urban
136,22,Male,Combination,"['Dark spots', 'Uneven tone']","['Sunscreen', 'Niacinamide', 'Cleanser', 'Vitamin C', 'Moisturizer']",Daily,"['Himalaya', 'Plum']",Balance T-zone with lightweight products. Niacinamide and sunscreen are key. Try AHAs and vitamin C.,Rural
137,27,Male,Sensitive,['Dark spots'],"['Sunscreen', 'Niacinamide', 'Exfoliator']",Daily,"['Cetaphil', 'Nivea']","Use fragrance-free, gentle products only. Niacinamide and sunscreen are key.",Rural
138,31,Male,Oily,"['Wrinkles', 'Dryness']","['Exfoliator', 'Moisturizer', 'Vitamin C', 'Retinol']",Daily,['Minimalist'],Use salicylic acid cleanser and oil-free moisturizer. Include retinol at night. Layer with hyaluronic acid serum.,Urban
139,23,Female,Sensitive,['Dark spots'],"['Sunscreen', 'Niacinamide', 'Exfoliator']",Daily,"['Cetaphil', 'Himalaya']","Use fragrance-free, gentle products only. Niacinamide and sunscreen are key.",Rural
140,55,Female,Sensitive,"['Dark spots', 'Wrinkles', 'Blackheads']","['Sunscreen', 'Exfoliator']",Daily,"['Cetaphil', 'Plum']","Use fragrance-free, gentle products only. Niacinamide and sunscreen are key. Include retinol at night. Use BHA exfoliant twice weekly.",Urban
141,41,Female,Dry,"['Acne', 'Dark spots', 'Blackheads']","['Niacinamide', 'Vitamin C', 'Exfoliator']",Weekly,['Biotique'],Use hydrating cleanser and thick moisturizer. Add niacinamide or benzoyl peroxide. Niacinamide and sunscreen are key. Use BHA exfoliant twice weekly.,Urban
142,20,Male,Dry,['Blackheads'],"['Retinol', 'Moisturizer', 'Exfoliator', 'Vitamin C']",Weekly,"['Biotique', 'Cetaphil', 'Nivea']",Use hydrating cleanser and thick moisturizer. Use BHA exfoliant twice weekly.,Urban
143,33,Male,Combination,"['Blackheads', 'Dark spots', 'Dryness']","['Moisturizer', 'Retinol', 'Niacinamide', 'Sunscreen']",Alternate Days,"['Biotique', 'Himalaya', 'Plum']",Balance T-zone with lightweight products. Use BHA exfoliant twice weekly. Niacinamide and sunscreen are key. Layer with hyaluronic acid serum.,Rural
144,40,Male,Combination,"['Wrinkles', 'Pigmentation', 'Dryness']","['Vitamin C', 'Moisturizer', 'Retinol', 'Sunscreen']",Weekly,"['Cetaphil', 'Himalaya']",Balance T-zone with lightweight products. Include retinol at night. Use vitamin C serum daily. Layer with hyaluronic acid serum.,Rural
145,17,Male,Sensitive,"['Dryness', 'Wrinkles']","['Sunscreen', 'Cleanser', 'Exfoliator']",Daily,"['Nivea', 'Himalaya']","Use fragrance-free, gentle products only. Layer with hyaluronic acid serum. Include retinol at night.",Rural
146,42,Male,Dry,"['Wrinkles', 'Dark spots', 'Dryness']","['Cleanser', 'Niacinamide', 'Vitamin C']",Daily,['Minimalist'],Use hydrating cleanser and thick moisturizer. Include retinol at night. Niacinamide and sunscreen are key. Layer with hyaluronic acid serum.,Urban
147,35,Male,Oily,"['Wrinkles', 'Uneven tone']","['Cleanser', 'Vitamin C', 'Moisturizer', 'Exfoliator', 'Sunscreen']",Daily,"['Himalaya', 'Nivea']",Use salicylic acid cleanser and oil-free moisturizer. Include retinol at night. Try AHAs and vitamin C.,Rural
148,41,Female,Combination,"['Uneven tone', 'Acne']","['Vitamin C', 'Niacinamide']",Daily,"['Himalaya', 'Biotique', 'Minimalist']",Balance T-zone with lightweight products. Try AHAs and vitamin C. Add niacinamide or benzoyl peroxide.,Urban
149,34,Male,Oily,"['Dryness', 'Blackheads']","['Vitamin C', 'Sunscreen', 'Cleanser']",Daily,"['Cetaphil', 'Biotique']",Use salicylic acid cleanser and oil-free moisturizer. Layer with hyaluronic acid serum. Use BHA exfoliant twice weekly.,Urban
150,23,Female,Sensitive,"['Dark spots', 'Dryness', 'Blackheads']","['Exfoliator', 'Niacinamide', 'Retinol']",Alternate Days,['Biotique'],"Use fragrance-free, gentle products only. Niacinamide and sunscreen are key. Layer with hyaluronic acid serum. Use BHA exfoliant twice weekly.",Urban
151,23,Male,Sensitive,"['Wrinkles', 'Uneven tone', 'Pigmentation']","['Vitamin C', 'Sunscreen']",Alternate Days,"['Himalaya', 'Mamaearth', 'Biotique']","Use fragrance-free, gentle products only. Include retinol at night. Try AHAs and vitamin C. Use vitamin C serum daily.",Rural
152,35,Female,Oily,"['Uneven tone', 'Acne']","['Moisturizer', 'Retinol', 'Sunscreen']",Daily,['Plum'],Use salicylic acid cleanser and oil-free moisturizer. Try AHAs and vitamin C. Add niacinamide or benzoyl peroxide.,Rural
153,36,Female,Combination,"['Wrinkles', 'Dark spots']","['Sunscreen', 'Vitamin C']",Alternate Days,"['Mamaearth', 'Minimalist', 'Himalaya']",Balance T-zone with lightweight products. Include retinol at night. Niacinamide and sunscreen are key.,Rural
154,20,Male,Sensitive,"['Dark spots', 'Uneven tone', 'Wrinkles']","['Vitamin C', 'Sunscreen']",Alternate Days,"['Mamaearth', 'Biotique', 'Himalaya']","Use fragrance-free, gentle products only. Niacinamide and sunscreen are key. Try AHAs and vitamin C. Include retinol at night.",Rural
155,35,Female,Combination,"['Uneven tone', 'Dark spots']","['Exfoliator', 'Niacinamide', 'Moisturizer', 'Vitamin C', 'Sunscreen']",Daily,"['Nivea', 'Cetaphil', 'Plum']",Balance T-zone with lightweight products. Try AHAs and vitamin C. Niacinamide and sunscreen are key.,Urban
156,62,Male,Oily,"['Dark spots', 'Pigmentation', 'Dryness']","['Moisturizer', 'Sunscreen', 'Niacinamide']",Weekly,['Himalaya'],Use salicylic acid cleanser and oil-free moisturizer. Niacinamide and sunscreen are key. Use vitamin C serum daily. Layer with hyaluronic acid serum.,Urban
157,64,Female,Oily,"['Blackheads', 'Acne', 'Dryness']","['Niacinamide', 'Retinol', 'Vitamin C']",Daily,"['Nivea', 'Himalaya', 'Plum']",Use salicylic acid cleanser and oil-free moisturizer. Use BHA exfoliant twice weekly. Add niacinamide or benzoyl peroxide. Layer with hyaluronic acid serum.,Urban
158,31,Female,Oily,"['Pigmentation', 'Dark spots', 'Acne']","['Retinol', 'Sunscreen']",Daily,"['Minimalist', 'Biotique', 'Nivea']",Use salicylic acid cleanser and oil-free moisturizer. Use vitamin C serum daily. Niacinamide and sunscreen are key. Add niacinamide or benzoyl peroxide.,Urban
159,17,Female,Dry,['Dryness'],"['Sunscreen', 'Retinol', 'Vitamin C', 'Niacinamide', 'Moisturizer']",Daily,"['Himalaya', 'Cetaphil', 'Mamaearth']",Use hydrating cleanser and thick moisturizer. Layer with hyaluronic acid serum.,Rural
160,31,Male,Sensitive,"['Pigmentation', 'Uneven tone', 'Dryness']","['Exfoliator', 'Cleanser']",Alternate Days,"['Himalaya', 'Biotique']","Use fragrance-free, gentle products only. Use vitamin C serum daily. Try AHAs and vitamin C. Layer with hyaluronic acid serum.",Rural
161,49,Female,Dry,['Blackheads'],"['Moisturizer', 'Sunscreen', 'Exfoliator', 'Cleanser']",Daily,"['Nivea', 'Cetaphil', 'Minimalist']",Use hydrating cleanser and thick moisturizer. Use BHA exfoliant twice weekly.,Urban
162,42,Male,Oily,"['Acne', 'Blackheads', 'Dark spots']","['Moisturizer', 'Vitamin C']",Daily,"['Nivea', 'Mamaearth']",Use salicylic acid cleanser and oil-free moisturizer. Add niacinamide or benzoyl peroxide. Use BHA exfoliant twice weekly. Niacinamide and sunscreen are key.,Urban
163,23,Male,Combination,['Dryness'],"['Niacinamide', 'Exfoliator', 'Sunscreen', 'Moisturizer']",Alternate Days,['Himalaya'],Balance T-zone with lightweight products. Layer with hyaluronic acid serum.,Urban
164,33,Female,Combination,['Dark spots'],"['Vitamin C', 'Exfoliator', 'Retinol']",Weekly,['Plum'],Balance T-zone with lightweight products. Niacinamide and sunscreen are key.,Rural
165,48,Female,Sensitive,"['Pigmentation', 'Wrinkles']","['Moisturizer', 'Niacinamide', 'Retinol', 'Exfoliator', 'Cleanser']",Alternate Days,"['Mamaearth', 'Nivea', 'Minimalist']","Use fragrance-free, gentle products only. Use vitamin C serum daily. Include retinol at night.",Rural
166,34,Male,Sensitive,['Wrinkles'],"['Sunscreen', 'Vitamin C', 'Cleanser']",Weekly,"['Minimalist', 'Cetaphil']","Use fragrance-free, gentle products only. Include retinol at night.",Urban
167,22,Female,Sensitive,"['Dark spots', 'Dryness', 'Acne']","['Moisturizer', 'Niacinamide']",Daily,"['Mamaearth', 'Plum']","Use fragrance-free, gentle products only. Niacinamide and sunscreen are key. Layer with hyaluronic acid serum. Add niacinamide or benzoyl peroxide.",Rural
168,17,Male,Dry,"['Acne', 'Uneven tone', 'Blackheads']","['Vitamin C', 'Niacinamide', 'Moisturizer']",Weekly,['Cetaphil'],Use hydrating cleanser and thick moisturizer. Add niacinamide or benzoyl peroxide. Try AHAs and vitamin C. Use BHA exfoliant twice weekly.,Rural
169,17,Female,Sensitive,"['Uneven tone', 'Wrinkles', 'Dryness']","['Sunscreen', 'Niacinamide', 'Retinol', 'Vitamin C']",Daily,"['Nivea', 'Plum', 'Mamaearth']","Use fragrance-free, gentle products only. Try AHAs and vitamin C. Include retinol at night. Layer with hyaluronic acid serum.",Rural
170,21,Female,Oily,"['Dryness', 'Pigmentation', 'Uneven tone']","['Sunscreen', 'Niacinamide']",Weekly,"['Mamaearth', 'Biotique']",Use salicylic acid cleanser and oil-free moisturizer. Layer with hyaluronic acid serum. Use vitamin C serum daily. Try AHAs and vitamin C.,Rural
171,45,Female,Dry,"['Dark spots', 'Uneven tone']","['Sunscreen', 'Retinol', 'Vitamin C', 'Niacinamide']",Daily,"['Biotique', 'Plum', 'Mamaearth']",Use hydrating cleanser and thick moisturizer. Niacinamide and sunscreen are key. Try AHAs and vitamin C.,Urban
172,50,Female,Dry,"['Uneven tone', 'Acne', 'Dark spots']","['Exfoliator', 'Cleanser']",Daily,['Nivea'],Use hydrating cleanser and thick moisturizer. Try AHAs and vitamin C. Add niacinamide or benzoyl peroxide. Niacinamide and sunscreen are key.,Urban
173,45,Male,Dry,['Pigmentation'],"['Sunscreen', 'Cleanser', 'Niacinamide', 'Retinol', 'Exfoliator']",Weekly,['Minimalist'],Use hydrating cleanser and thick moisturizer. Use vitamin C serum daily.,Rural
174,17,Male,Combination,"['Wrinkles', 'Acne', 'Dark spots']","['Exfoliator', 'Moisturizer', 'Cleanser', 'Niacinamide', 'Sunscreen']",Daily,['Mamaearth'],Balance T-zone with lightweight products. Include retinol at night. Add niacinamide or benzoyl peroxide. Niacinamide and sunscreen are key.,Rural
175,26,Female,Sensitive,['Wrinkles'],"['Retinol', 'Niacinamide', 'Moisturizer', 'Vitamin C', 'Exfoliator']",Daily,"['Biotique', 'Himalaya', 'Minimalist']","Use fragrance-free, gentle products only. Include retinol at night.",Urban
176,32,Female,Sensitive,"['Blackheads', 'Acne', 'Uneven tone']","['Cleanser', 'Retinol', 'Vitamin C']",Alternate Days,"['Biotique', 'Minimalist', 'Cetaphil']","Use fragrance-free, gentle products only. Use BHA exfoliant twice weekly. Add niacinamide or benzoyl peroxide. Try AHAs and vitamin C.",Urban
177,45,Male,Sensitive,"['Acne', 'Dryness']","['Niacinamide', 'Exfoliator', 'Cleanser', 'Moisturizer']",Alternate Days,['Mamaearth'],"Use fragrance-free, gentle products only. Add niacinamide or benzoyl peroxide. Layer with hyaluronic acid serum.",Urban
178,31,Male,Combination,['Dark spots'],"['Niacinamide', 'Retinol', 'Exfoliator']",Alternate Days,"['Biotique', 'Himalaya']",Balance T-zone with lightweight products. Niacinamide and sunscreen are key.,Urban
179,26,Female,Oily,['Blackheads'],"['Exfoliator', 'Cleanser', 'Sunscreen']",Weekly,"['Minimalist', 'Himalaya']",Use salicylic acid cleanser and oil-free moisturizer. Use BHA exfoliant twice weekly.,Rural
180,38,Female,Dry,"['Dark spots', 'Blackheads']","['Moisturizer', 'Vitamin C', 'Niacinamide', 'Retinol', 'Cleanser']",Alternate Days,['Himalaya'],Use hydrating cleanser and thick moisturizer. Niacinamide and sunscreen are key. Use BHA exfoliant twice weekly.,Urban
181,26,Female,Dry,"['Uneven tone', 'Dryness']","['Vitamin C', 'Retinol', 'Sunscreen']",Alternate Days,['Minimalist'],Use hydrating cleanser and thick moisturizer. Try AHAs and vitamin C. Layer with hyaluronic acid serum.,Urban
182,20,Female,Combination,"['Acne', 'Pigmentation']","['Moisturizer', 'Retinol']",Weekly,"['Cetaphil', 'Biotique', 'Nivea']",Balance T-zone with lightweight products. Add niacinamide or benzoyl peroxide. Use vitamin C serum daily.,Urban
183,19,Male,Combination,"['Acne', 'Dark spots', 'Uneven tone']","['Exfoliator', 'Retinol', 'Cleanser', 'Sunscreen']",Weekly,"['Biotique', 'Minimalist']",Balance T-zone with lightweight products. Add niacinamide or benzoyl peroxide. Niacinamide and sunscreen are key. Try AHAs and vitamin C.,Urban
184,63,Male,Sensitive,['Pigmentation'],"['Sunscreen', 'Exfoliator', 'Retinol', 'Moisturizer']",Daily,['Nivea'],"Use fragrance-free, gentle products only. Use vitamin C serum daily.",Rural
185,34,Female,Sensitive,['Wrinkles'],"['Moisturizer', 'Vitamin C', 'Retinol', 'Exfoliator']",Weekly,['Mamaearth'],"Use fragrance-free, gentle products only. Include retinol at night.",Rural
186,16,Female,Combination,"['Blackheads', 'Wrinkles', 'Dryness']","['Retinol', 'Vitamin C', 'Niacinamide', 'Moisturizer']",Alternate Days,"['Cetaphil', 'Himalaya']",Balance T-zone with lightweight products. Use BHA exfoliant twice weekly. Include retinol at night. Layer with hyaluronic acid serum.,Urban
187,42,Female,Dry,"['Wrinkles', 'Dryness']","['Niacinamide', 'Moisturizer', 'Sunscreen', 'Retinol', 'Vitamin C']",Weekly,"['Minimalist', 'Cetaphil']",Use hydrating cleanser and thick moisturizer. Include retinol at night. Layer with hyaluronic acid serum.,Urban
188,65,Male,Oily,"['Blackheads', 'Uneven tone', 'Pigmentation']","['Exfoliator', 'Sunscreen', 'Cleanser', 'Retinol', 'Vitamin C']",Weekly,['Himalaya'],Use salicylic acid cleanser and oil-free moisturizer. Use BHA exfoliant twice weekly. Try AHAs and vitamin C. Use vitamin C serum daily.,Rural
189,46,Female,Dry,"['Blackheads', 'Dryness', 'Acne']","['Niacinamide', 'Retinol', 'Exfoliator', 'Vitamin C', 'Sunscreen']",Weekly,"['Minimalist', 'Plum', 'Cetaphil']",Use hydrating cleanser and thick moisturizer. Use BHA exfoliant twice weekly. Layer with hyaluronic acid serum. Add niacinamide or benzoyl peroxide.,Urban
190,29,Male,Combination,['Uneven tone'],"['Niacinamide', 'Vitamin C']",Weekly,"['Biotique', 'Nivea']",Balance T-zone with lightweight products. Try AHAs and vitamin C.,Urban
191,17,Male,Combination,['Dark spots'],"['Retinol', 'Sunscreen', 'Exfoliator']",Weekly,"['Cetaphil', 'Himalaya', 'Biotique']",Balance T-zone with lightweight products. Niacinamide and sunscreen are key.,Urban
192,25,Male,Sensitive,['Wrinkles'],"['Cleanser', 'Exfoliator', 'Moisturizer', 'Sunscreen', 'Niacinamide']",Alternate Days,"['Biotique', 'Mamaearth']","Use fragrance-free, gentle products only. Include retinol at night.",Rural
193,25,Female,Oily,"['Uneven tone', 'Dryness']","['Sunscreen', 'Cleanser', 'Exfoliator', 'Vitamin C', 'Niacinamide']",Daily,['Biotique'],Use salicylic acid cleanser and oil-free moisturizer. Try AHAs and vitamin C. Layer with hyaluronic acid serum.,Rural
194,29,Male,Dry,"['Pigmentation', 'Dark spots', 'Dryness']","['Niacinamide', 'Retinol', 'Vitamin C', 'Moisturizer']",Weekly,"['Mamaearth', 'Biotique', 'Nivea']",Use hydrating cleanser and thick moisturizer. Use vitamin C serum daily. Niacinamide and sunscreen are key. Layer with hyaluronic acid serum.,Rural
195,19,Male,Sensitive,"['Blackheads', 'Dryness', 'Acne']","['Moisturizer', 'Sunscreen', 'Cleanser']",Daily,"['Mamaearth', 'Plum', 'Himalaya']","Use fragrance-free, gentle products only. Use BHA exfoliant twice weekly. Layer with hyaluronic acid serum. Add niacinamide or benzoyl peroxide.",Urban
196,39,Male,Combination,"['Dryness', 'Blackheads', 'Dark spots']","['Niacinamide', 'Retinol', 'Exfoliator', 'Vitamin C']",Daily,"['Plum', 'Nivea']",Balance T-zone with lightweight products. Layer with hyaluronic acid serum. Use BHA exfoliant twice weekly. Niacinamide and sunscreen are key.,Urban
197,19,Male,Dry,"['Acne', 'Pigmentation']","['Cleanser', 'Moisturizer', 'Sunscreen', 'Vitamin C']",Weekly,"['Cetaphil', 'Mamaearth']",Use hydrating cleanser and thick moisturizer. Add niacinamide or benzoyl peroxide. Use vitamin C serum daily.,Rural
198,35,Male,Sensitive,"['Dark spots', 'Uneven tone', 'Pigmentation']","['Retinol', 'Sunscreen', 'Moisturizer']",Daily,"['Biotique', 'Nivea']","Use fragrance-free, gentle products only. Niacinamide and sunscreen are key. Try AHAs and vitamin C. Use vitamin C serum daily.",Urban
199,26,Male,Sensitive,['Pigmentation'],"['Niacinamide', 'Exfoliator', 'Retinol', 'Vitamin C', 'Sunscreen']",Weekly,"['Himalaya', 'Nivea']","Use fragrance-free, gentle products only. Use vitamin C serum daily.",Rural
200,37,Male,Oily,['Wrinkles'],"['Sunscreen', 'Moisturizer']",Alternate Days,['Biotique'],Use salicylic acid cleanser and oil-free moisturizer. Include retinol at night.,Rural
201,20,Female,Combination,['Pores'],['Niacinamide'],daily,['Plum'],Use salicylic acid,Urban
